YEAR,MO,DY,Distribuidora,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,Distribuidora
2025,3,10,Bogota Sur,18.1,14.61,16.36,18.09,9.45,23.48,14.03,12.78,82.01,9.13,Bogota Sur
2025,3,11,Bogota Sur,17.92,15.25,16.59,17.84,8.39,22.8,14.41,13.33,85.56,18.78,Bogota Sur
2025,3,12,Bogota Sur,17.94,15.82,16.88,17.98,5.87,21.53,15.66,13.81,88.21,29.59,Bogota Sur
2025,3,13,Bogota Sur,18.32,15.88,17.1,18.38,7.36,22.82,15.46,13.88,86.89,17.8,Bogota Sur
2025,3,14,Bogota Sur,16.94,15.65,16.3,16.85,3.0,18.85,15.85,13.68,92.36,21.03,Bogota Sur
2025,3,15,Bogota Sur,17.7,15.44,16.57,17.65,6.57,21.59,15.02,13.5,87.58,6.78,Bogota Sur
2025,3,16,Bogota Sur,17.93,15.69,16.81,18.01,8.26,23.12,14.86,13.69,87.9,15.51,Bogota Sur
2025,3,17,Bogota Sur,16.25,15.15,15.7,15.89,2.13,17.49,15.36,13.22,93.4,24.43,Bogota Sur
2025,3,18,Bogota Sur,17.21,15.1,16.16,17.14,6.99,21.19,14.2,13.19,88.18,12.13,Bogota Sur
2025,3,19,Bogota Sur,18.0,15.65,16.83,18.02,7.62,22.53,14.91,13.68,87.29,7.91,Bogota Sur
2025,3,20,Bogota Sur,17.15,15.15,16.15,16.93,6.88,21.01,14.13,13.22,88.79,5.91,Bogota Sur
2025,3,21,Bogota Sur,17.49,15.12,16.3,17.3,8.25,22.17,13.92,13.21,86.97,6.91,Bogota Sur
2025,3,22,Bogota Sur,17.9,15.04,16.47,17.72,8.54,22.59,14.05,13.14,84.72,3.49,Bogota Sur
2025,3,23,Bogota Sur,17.85,14.55,16.2,17.75,9.78,23.19,13.41,12.74,82.9,2.68,Bogota Sur
2025,3,24,Bogota Sur,17.59,14.34,15.96,17.31,9.53,22.88,13.35,12.56,82.85,2.53,Bogota Sur
2025,3,25,Bogota Sur,18.04,14.07,16.05,17.71,11.3,24.35,13.05,12.34,79.92,1.98,Bogota Sur
2025,3,26,Bogota Sur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bogota Sur
2025,3,27,Bogota Sur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bogota Sur
2025,3,28,Bogota Sur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bogota Sur
2025,3,29,Bogota Sur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bogota Sur
2025,3,30,Bogota Sur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bogota Sur
2025,3,31,Bogota Sur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bogota Sur
2025,3,1,Cucuta,21.95,16.17,19.06,22.09,9.44,26.84,17.4,12.93,71.49,0.6,Cucuta
2025,3,2,Cucuta,22.62,15.87,19.25,22.95,9.86,27.79,17.93,12.69,67.53,0.95,Cucuta
2025,3,3,Cucuta,22.39,16.46,19.43,22.55,10.91,28.17,17.26,13.2,71.4,1.93,Cucuta
2025,3,4,Cucuta,21.62,17.23,19.43,21.62,7.59,25.92,18.33,13.84,77.36,1.15,Cucuta
2025,3,5,Cucuta,21.43,17.53,19.48,21.55,8.53,26.51,17.98,14.12,79.69,5.94,Cucuta
2025,3,6,Cucuta,21.42,17.88,19.65,21.3,7.59,25.67,18.08,14.42,81.41,7.63,Cucuta
2025,3,7,Cucuta,21.49,17.59,19.54,21.43,7.79,26.02,18.23,14.13,79.9,5.8,Cucuta
2025,3,8,Cucuta,21.49,16.94,19.21,21.53,8.33,26.16,17.83,13.55,76.79,3.08,Cucuta
2025,3,9,Cucuta,22.31,15.33,18.82,22.24,11.61,28.36,16.75,12.25,67.09,0.33,Cucuta
2025,3,10,Cucuta,22.55,15.37,18.96,22.58,12.5,28.81,16.31,12.29,66.83,0.13,Cucuta
2025,3,11,Cucuta,22.78,15.27,19.03,22.65,12.91,29.34,16.43,12.22,65.3,0.14,Cucuta
2025,3,12,Cucuta,22.7,16.1,19.4,22.64,12.29,28.92,16.63,12.87,68.57,0.92,Cucuta
2025,3,13,Cucuta,22.4,17.43,19.92,22.2,9.17,27.48,18.31,14.0,75.0,4.93,Cucuta
2025,3,14,Cucuta,22.09,17.22,19.65,21.95,9.07,26.86,17.79,13.82,75.27,2.85,Cucuta
2025,3,15,Cucuta,21.82,17.23,19.53,21.79,10.63,28.13,17.5,13.87,77.39,3.08,Cucuta
2025,3,16,Cucuta,21.04,17.64,19.34,20.78,6.98,25.24,18.26,14.18,81.67,5.53,Cucuta
2025,3,17,Cucuta,22.19,17.99,20.09,22.32,9.75,27.92,18.17,14.51,78.96,7.67,Cucuta
2025,3,18,Cucuta,21.24,18.82,20.03,21.46,7.66,26.24,18.58,15.29,87.3,10.57,Cucuta
2025,3,19,Cucuta,20.88,18.71,19.8,21.05,6.46,24.93,18.47,15.21,88.32,5.73,Cucuta
2025,3,20,Cucuta,22.12,18.22,20.17,22.52,8.8,27.05,18.25,14.73,80.47,2.5,Cucuta
2025,3,21,Cucuta,21.82,18.0,19.91,22.08,9.22,26.98,17.76,14.52,80.77,3.94,Cucuta
2025,3,22,Cucuta,21.76,16.37,19.07,22.06,9.53,26.76,17.23,13.09,73.55,0.53,Cucuta
2025,3,23,Cucuta,21.68,15.95,18.82,22.05,9.03,26.44,17.41,12.73,70.93,1.13,Cucuta
